Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,1986.40,100.00,0,0,0,0,1986.40,1.03,2866
2,2,1980.25,100.00,0,0,0,0,1980.25,1.02,2779
3,3,1977.63,100.00,0,0,0,0,1977.63,1.05,2870
4,4,1977.73,100.00,0,0,0,0,1977.73,1.02,4338
5,5,1955.07,100.00,0,0,0,0,1955.07,1.03,4522
6,6,2002.03,100.00,0,0,0,0,2002.03,1.03,3397
7,7,1987.83,100.00,0,0,0,0,1987.83,1.03,5759
8,8,1987.45,100.00,0,0,0,0,1987.45,1.02,5456
9,9,1974.47,100.00,0,0,0,0,1974.47,1.04,4223
10,10,1984.62,100.00,0,0,0,0,1984.62,1.02,3271
11,11,1990.55,100.00,0,0,0,0,1990.55,1.02,4727
12,12,1966.88,100.00,0,0,0,0,1966.88,1.03,3773
13,13,1996.12,100.00,0,0,0,0,1996.12,1.02,3384
14,14,1983.17,100.00,0,0,0,0,1983.17,1.03,4238
15,15,2017.07,100.00,0,0,0,0,2017.07,1.02,5651
16,16,1990.42,100.00,0,0,0,0,1990.42,1.03,4687
17,17,1980.92,100.00,0,0,0,0,1980.92,1.03,3251
18,18,1960.18,100.00,0,0,0,0,1960.18,1.03,3271
19,19,1996.93,100.00,0,0,0,0,1996.93,1.03,3646
20,20,1974.88,100.00,0,0,0,0,1974.88,1.03,3367
21,21,1972.93,100.00,0,0,0,0,1972.93,1.03,3607
22,22,2020.25,100.00,0,0,0,0,2020.25,1.03,3332
23,23,1999.60,100.00,0,0,0,0,1999.60,1.02,3917
24,24,1963.20,100.00,0,0,0,0,1963.20,1.03,3330
25,25,1970.93,100.00,0,0,0,0,1970.93,1.03,3336
26,26,1989.10,100.00,0,0,0,0,1989.10,1.03,3243
27,27,1976.42,100.00,0,0,0,0,1976.42,1.03,3235
28,28,1989.13,100.00,0,0,0,0,1989.13,1.03,3634
29,29,2006.33,100.00,0,0,0,0,2006.33,1.02,3133
30,30,1959.22,100.00,0,0,0,0,1959.22,1.03,4620
